,word_ngram_freq,volume_ngram_freq,freq
arzel,803,399,15
eigenvalues,1264669,149915,12
regarded,56261135,6186662,3
periodic,10645077,2760904,8
urbana,2132142,791103,1
limits,45290452,8024836,5
connect,11704935,3545835,1
success,93383234,9080063,1
alternative,50908630,8499118,2
enough,188948038,13701241,5
extent,97114220,7699661,1
dual,11922418,3352219,20
tl,4093747,1437970,3
illustration,20169040,4778772,1
wide,90243089,9478270,1
parallelized,47251,15365,1
curve,39528834,3720944,120
continuation,8603897,3422893,1
extensions,5288755,1851819,1
side,244375385,12948123,4
matrix,27419064,2710394,31
jacobian,314169,65906,3
goldberg,2545980,629993,6
serve,67412909,8089604,1
counting,10858924,4270190,2
suggests,47891970,5362934,1
formed,91737307,8155839,1
numerous,59170232,8488212,1
linear,31091743,3268760,52
variable,49568655,4630204,5
procedure,66904035,6320348,6
discover,26507255,5910432,4
equivalently,580767,267302,1
excuse,15473849,5494997,1
critical,76145395,8682585,19
transparent,9378426,2830303,1
term,152976238,10914640,10
purposes,70367846,7282787,3
conservative,26708670,4585379,2
purpose,139327457,10081407,1
meets,11445760,4372316,1
generating,9008612,2764758,2
triangles,3593862,910802,5
realization,12769357,3457161,2
cons,2254760,1056564,1
rules,95446866,9130409,1
tangent,3183655,661831,85
stopping,9739723,4195716,1
better,225159108,15847285,3
dealt,19853235,4978454,1
though,315756488,16109202,1
dense,12484014,3121740,1
conclusion,56665504,9753566,3
relativity,3455242,781582,3
elsewhere,36721837,7319708,1
partitions,2278638,749722,1
determines,12698826,3344582,5
weaken,3987250,2080924,1
desire,78023132,9413074,1
ambient,3577639,823687,1
reparametrization,9248,3814,2
line,237500159,13911324,10
true,209902030,12809911,7
choosing,13731408,5202042,1
describe,47790971,7275663,3
arbitrarily,3752162,1777597,2
tbm,107423,20016,1
permutation,764911,218438,3
faster,17377862,5198498,1
completeness,3624728,1735084,10
amount,147854681,9732703,4
throw,23746663,5979802,1
parallelization,131208,23889,19
self,209487136,15872179,7
abstraction,6556173,1821462,1
transformations,6793590,1872211,5
fixes,1983817,1205917,1
maximizing,2329755,868098,1
equality,23099883,4023124,6
exponent,2868194,1123982,1
possible,272346265,10240460,4
density,39511815,3189844,1
summand,27027,9879,2
rapidly,47062588,6606206,1
operators,12317230,1967739,9
normalized,3147430,783812,2
backwards,5494460,2555814,1
ambrose,2691243,655628,3
imbedded,1222871,668105,2
expansion,38731171,5455815,7
driving,25592961,6738907,3
know,405542218,10986022,8
practically,26579330,5901522,1
palais,1303811,399372,2
mit,13186398,2028883,1
steps,59851144,8766662,3
separate,76484418,10597054,1
key,83552147,11203703,2
convention,44870641,4825453,1
symetries,1082,895,1
relate,18937003,4839801,1
homeomorphism,30916,6691,1
energy,142518230,8490700,28
reasonable,45114019,6406384,3
additions,7957974,3016228,1
derivation,5051471,1559628,2
chaining,542693,215625,4
assume,48350191,7225765,19
log,19382850,3716122,1
closer,30715649,8549631,1
coefficients,13231275,1263136,14
pairs,17446014,3330587,6
complete,120475549,13400371,39
gain,53875417,8934148,2
lecture,16128389,4448222,1
surface,145677703,8459547,15
sur,16366673,3248379,1
maximal,4099996,788449,11
motion,67756261,6670092,5
element,61321484,6964865,3
manuscripta,14680,8522,1
discuss,38356144,6389024,2
glb,49977,8469,1
logarithmic,1948770,536136,7
depending,28882036,6562333,4
differential,19425213,3190870,20
latex,1943218,408045,1
canonical,3710189,860204,10
runs,26702428,6768338,1
elements,96488567,8395980,5
radius,13648648,1941321,10
parallelizable,11439,5445,4
sequences,12273087,1748095,4
except,116721782,11936255,4
bartle,216476,57002,2
free,206158509,15487295,8
historically,10002361,3695542,1
volume,102231218,10036036,11
varies,18839987,4085080,1
nineteenth,34793441,4815127,1
eigenspaces,7660,2846,1
indicate,52265683,6621258,2
via,32040070,4668892,3
situation,134610698,8595935,1
mechanics,12969127,3156841,3
beltrami,85677,22924,2
block,43360201,7574819,2
labeled,9910718,2215497,2
generalize,1932678,989841,2
series,122648090,11748034,2
papers,63406891,8061240,1
places,86150103,10459198,2
null,6949610,1250178,3
etc,6670700,2432166,1
realizability,49472,18539,1
express,49344208,9269494,3
translate,6599226,2841782,5
field,176569485,12209947,163
everything,100209737,11035261,1
prescribed,17655497,4133179,1
attained,16651427,4254101,1
approximations,2260739,780802,1
explicitly,14268455,2918579,2
interested,51866976,9044066,1
compatible,8866777,2694505,1
supposed,51153222,7130455,2
reprinted,15622819,3518953,1
interpretation,54221131,6819644,5
variants,4939014,1356962,1
efficient,31307288,5423876,1
compact,11091481,3487143,54
nondegenerate,104352,29869,8
c,243374626,14678573,5
name,253016135,14123875,6
mappings,695787,156024,3
multiplicities,148889,58298,1
subsegments,24883,11817,1
schmidt,5175305,1176288,3
correspondingly,3415303,1781331,1
preserve,20765909,5506935,2
consisting,21510147,4808344,2
improved,35871080,7940518,1
tool,29950175,4956754,5
detail,48469875,7319436,1
expansions,1305000,566929,2
pulls,3495384,1580676,1
logarithm,1324877,384719,2
lines,119425686,9300567,4
uses,57125716,8914210,1
realized,36983195,5399453,2
precisely,31275394,5959461,4
system,428655277,12775482,6
counterpart,5972206,2528756,1
distances,13494231,3383393,6
wherein,11178342,3549454,1
purely,23246435,5107221,1
invented,11290628,3685302,1
stick,19426989,6185532,1
yielding,7313159,3092066,1
b,239260173,13099169,8
oppositely,338111,160885,1
simplify,3594130,1674424,1
nondegeneracy,7333,3585,6
noninjective,316,184,1
cut,103037571,13162176,25
singularities,549092,180944,5
function,147417217,9247580,41
des,75044809,4159196,1
equivalence,3440955,867114,5
less,337388744,16520466,6
subsequence,120655,33789,8
meaning,101764328,11290447,7
analogously,518524,313946,1
estimating,6705154,2229634,1
maximize,4883210,1448266,1
constant,80167769,8493564,68
surfaces,22124950,2784684,7
closed,59054121,9540920,16
assuming,21262223,6448772,3
completely,70695291,8024323,2
